SMILES,3CLPro_pocket1,ADRP-ADPR_pocket1,ADRP-ADPR_pocket5,ADRP_pocket1,ADRP_pocket12,ADRP_pocket13,COV_pocket1,COV_pocket2,COV_pocket8,COV_pocket10,NSP9_pocket2,NSP9_pocket7,NSP15_pocket1,ORF7A_pocket2,PLPro_chainA_pocket3,PLPro_chainA_pocket23,PLPro_pocket6,PLPro_pocket50
Clc1ccc(cc1)C1(CCC1)NCc1noc(n1)C1COc2c(O1)cccc2,-7.1,-9.43,-9.74,-5.9,-5.88,-8.86,-3.88,-2.87,-7.27,-7.73,-7.18,-6.97,-8.95,-6.88,-6.16,-8.81,-8.55,-10.36
COc1ccc(cc1)C(=O)NCCNC(=O)Nc1c(C)cccc1CC,-4.17,-8.44,-8.48,-5.7,-5.43,-7.39,-2.73,-2.34,-7.09,-7.4,-7.12,-6.23,-7.61,-4.45,-5.4,-7.36,-7.5,-8.7
O=C(c1c(C)[nH]c2c1cccc2)N1CCC(C1)Nc1ccc2n(n1)ccn2,-8.4,-10.16,-10.12,-6.21,-6.13,-8.66,-3.15,-2.97,-6.99,-7.14,-7.94,-7.6,-7.75,-5.44,-5.95,-8.59,-8.37,-8.79
CSc1nc2sc3c(c2c(=O)n1c1ccccc1C)CCCC3,-5.7,-8.41,-8.4,-5.84,-5.85,-7.29,-3.17,-3.08,-6.2,-6.97,-7.37,-6.9,-7.24,-5.34,-5.39,-7.59,-7.76,-8.96
COc1ccc(cc1)N(C(=O)CN1C(=O)NC2(C1=O)CCC(CC2)C)Cc1cccs1,-5.96,-9.62,-9.59,-5.61,-5.67,-7.49,-2.22,-2.8,-7.07,-7.58,-7.27,-7.72,-7.45,-5.08,-6.11,-8.06,-8.72,-9.67
COc1ccnc(n1)N(Cc1csc(n1)C)C,-4.37,-5.77,-5.96,-4.44,-4.48,-4.92,-2.35,-2.51,-4.74,-4.26,-5.38,-4.45,-5.78,-3.87,-4.36,-6.21,-6.2,-6.68
Cc1cc(C)c(c(=O)[nH]1)CNc1nc2cc(nn2c2c1cccc2)C,-6.01,-8.62,-8.61,-6.04,-6.04,-8.08,-3.04,-3.31,-7.47,-8.0,-7.73,-7.52,-8.65,-5.65,-6.37,-9.65,-9.35,-10.27
Cc1cccc(c1)COc1cccc(c1)C(=O)NCCCN1C(=O)NC2(C1=O)CCCC2,-9.21,-9.65,-10.13,-5.14,-6.1,-7.77,-2.39,-2.15,-7.93,-7.48,-7.53,-7.72,-7.86,-5.9,-5.29,-8.36,-8.51,-10.25
Fc1cccc(c1)NC(=O)N1CCCCC1CN1CCCC1=O,-4.82,-7.81,-7.78,-5.25,-4.82,-6.75,-2.99,-2.97,-5.65,-5.98,-7.61,-6.41,-6.99,-4.34,-5.4,-8.21,-7.13,-7.99
NC(=O)CCOc1ccccc1NC(=O)c1cc(F)c(cc1Cl)Cl,-4.86,-8.57,-8.29,-4.92,-5.19,-6.9,-2.18,-2.1,-6.81,-6.95,-6.91,-7.11,-7.53,-4.73,-5.51,-7.51,-7.37,-7.97
N#CCSc1ccccc1NC(=O)CSc1c(Cl)cccc1Cl,-5.02,-8.0,-8.17,-4.68,-5.08,-7.33,-2.17,-2.37,-6.38,-5.9,-6.76,-6.86,-6.71,-4.53,-4.41,-7.88,-7.28,-8.39
CCCC1CCCN(CC1)C(=O)c1cnc2c(c1)c(=O)[nH]c(=O)[nH]2,-6.03,-9.35,-9.33,-6.04,-6.08,-7.34,-2.88,-2.98,-6.85,-6.45,-7.39,-6.56,-7.29,-5.12,-5.54,-8.65,-8.22,-9.7
Cc1ccc(c(c1)Br)NC(=O)c1ccc(=O)n(n1)CCOc1ccccc1,-4.84,-9.71,-9.65,-5.87,-5.75,-7.74,-2.66,-2.56,-7.01,-7.39,-8.2,-7.45,-7.56,-5.93,-5.78,-8.58,-8.43,-9.62
COc1ccc(cc1CSCCC(=O)Nc1noc(c1)C)Cl,-5.41,-8.02,-8.08,-5.27,-4.9,-6.73,-2.3,-1.94,-7.41,-6.45,-6.46,-6.59,-6.92,-4.62,-5.37,-7.13,-7.26,-7.8
Cc1csc(n1)NS(=O)(=O)c1ccc(c(c1)F)F,-4.89,-7.13,-7.27,-4.98,-4.99,-6.26,-2.93,-2.92,-5.83,-5.57,-6.53,-5.89,-7.28,-4.34,-4.64,-6.63,-6.42,-7.5
COCCn1nc(c(c1C)CNc1sc2n(n1)c(=O)cc(n2)C)C,-4.69,-8.59,-8.41,-5.63,-5.34,-7.39,-2.29,-1.99,-6.21,-6.78,-6.85,-6.48,-6.97,-5.25,-5.61,-7.85,-7.35,-8.66
COc1ccc(cc1)CN1CCN(CC1)C(C(=O)Nc1cccc(c1)OC)c1ccccc1,-6.02,-7.68,-8.06,-5.88,-5.94,-7.25,-2.0,-1.89,-6.33,-6.22,-4.68,-5.62,-7.49,-5.9,-5.16,-7.48,-8.59,-8.67
Nc1cccc(c1)S(=O)(=O)N1CCCCCC1,-5.64,-7.91,-7.92,-4.58,-4.74,-6.44,-2.76,-2.85,-6.57,-5.64,-7.13,-5.77,-7.12,-4.68,-5.07,-7.8,-7.3,-8.61
Fc1ccc(c(c1)F)CN(S(=O)(=O)c1ccc2c(c1)cccc2)C,-5.01,-8.79,-9.11,-5.63,-5.63,-7.12,-2.96,-2.98,-7.19,-6.58,-8.1,-6.76,-6.89,-4.95,-5.8,-7.84,-7.86,-8.59
Clc1cc(Nc2ccc(cc2)S(=O)(=O)C)n2c(n1)ccn2,-5.05,-8.25,-8.31,-5.53,-5.52,-7.16,-3.34,-3.43,-7.09,-7.76,-7.41,-6.93,-7.61,-5.54,-5.52,-7.69,-7.62,-8.41
CCCOc1ccc(c2c1cccc2)S(=O)(=O)Nc1cccnc1,-5.18,-8.5,-8.34,-5.98,-5.95,-6.7,-2.59,-2.74,-7.22,-6.7,-6.94,-6.9,-7.47,-5.25,-5.59,-7.74,-7.99,-9.04
COc1ccc(c(c1)OC)CN(S(=O)(=O)c1ccc2c(c1)[nH]c(=O)[nH]2)C,-4.33,-8.87,-8.73,-5.11,-5.12,-7.36,-2.5,-2.53,-7.32,-7.66,-7.3,-7.13,-7.24,-5.07,-5.61,-7.3,-8.34,-8.34
O=C1Nc2ccc(cc2CN1C)NS(=O)(=O)c1ccc(c(c1)Cl)Cl,-5.92,-9.36,-9.47,-5.89,-5.83,-8.11,-3.18,-3.24,-8.34,-7.51,-7.83,-7.18,-7.87,-5.87,-5.72,-8.81,-8.47,-9.52
Cc1ccc(c(c1)S(=O)(=O)N1CCN(CC1)C(=O)c1cc2c(s1)CCCC2)C,-5.56,-10.57,-10.56,-6.63,-6.76,-8.72,-3.39,-3.35,-8.29,-8.06,-9.38,-8.42,-9.18,-6.03,-6.59,-8.12,-8.73,-10.05
OC(Cn1nccc1c1ccncc1)COc1cccc2c1cc[nH]2,-4.3,-8.47,-8.95,-4.92,-5.25,-7.85,-2.25,-1.81,-6.4,-6.65,-7.91,-6.79,-6.92,-5.87,-5.28,-8.23,-8.18,-9.47
COCCn1c(SCC(=O)NCc2ccc(c(c2)OC)OC)nnc1c1cccc(c1)C,-4.53,-9.44,-9.18,-4.64,-4.91,-7.24,-1.41,-1.62,-6.53,-6.91,-6.67,-6.14,-7.74,-3.66,-4.54,-7.22,-7.11,-8.43
Clc1ccc(cc1)c1onc(n1)CSc1ccc2c(c1)OCCO2,-5.46,-9.4,-9.13,-6.1,-6.1,-8.4,-3.07,-3.06,-7.72,-7.66,-8.21,-6.7,-7.74,-5.37,-6.35,-8.87,-8.63,-9.91
C=CC(c1ccccc1)CC(=O)NC1CCCN(C1)c1cnn(c1)C,-8.39,-8.47,-7.79,-5.17,-5.01,-6.87,-2.32,-2.11,-6.59,-6.49,-6.96,-6.63,-6.82,-5.02,-5.01,-8.39,-7.34,-8.15
Oc1ccc(cc1)C1=CCN(CC1)Cc1onc(n1)c1cccc(c1)C,-5.78,-9.02,-9.02,-6.28,-6.39,-8.21,-2.72,-2.72,-7.37,-6.91,-6.87,-6.82,-8.21,-5.52,-6.27,-8.43,-8.68,-10.14
COc1ccc2c(c1)c(CC(=O)N1CCNC(=O)C1(C)C)c[nH]2,-5.22,-8.09,-8.07,-5.64,-5.28,-6.88,-2.74,-2.75,-6.08,-6.45,-7.0,-6.78,-7.44,-4.86,-5.11,-7.13,-7.75,-8.11
COc1c(OC)cc(cc1C(=O)N(Cc1ccsc1)C)S(=O)(=O)Nc1ccccc1F,-4.96,-9.41,-8.21,-5.34,-4.91,-7.17,-2.6,-2.41,-7.21,-7.68,-8.39,-7.15,-7.61,-5.77,-5.4,-7.63,-8.17,-9.16
COc1ccccc1C(c1nccn1C)N,-4.76,-5.35,-5.36,-4.07,-3.99,-4.46,-2.31,-2.21,-4.62,-4.7,-4.26,-4.06,-5.84,-4.79,-3.75,-6.82,-5.74,-6.77
Cc1cc(C(=O)Nc2ccc(c3c2cccn3)C)c2c(n1)n(C)[nH]c2=O,-6.2,-9.09,-9.12,-5.81,-5.77,-8.22,-3.34,-3.31,-7.61,-8.59,-8.05,-7.77,-8.05,-6.2,-6.12,-9.18,-8.98,-9.63
Clc1ccc(cc1Cl)OC1CCN(C1)Cc1cnnn1C,-5.15,-8.24,-8.22,-5.0,-5.01,-6.61,-2.76,-2.57,-7.35,-6.42,-5.79,-6.03,-7.42,-5.59,-5.3,-8.32,-7.08,-8.29
O=C(C(Sc1n[nH]c(=O)n1Cc1ccccc1)C)NC1CCCC1,-5.14,-8.21,-8.91,-5.18,-5.0,-7.45,-2.1,-2.56,-6.35,-7.27,-7.08,-6.73,-7.61,-4.82,-4.87,-8.95,-7.74,-8.85
Cc1nn(c(c1C(=O)N1CCC(CC1)OCc1ccccc1)C)C,-5.24,-8.7,-8.68,-5.21,-5.28,-7.23,-3.46,-2.86,-7.15,-6.42,-7.52,-7.21,-7.08,-5.19,-5.55,-7.65,-7.47,-8.5
O=C(C1Oc2ccccc2OC1C)NC1CCc2n(C1)cc(n2)C,-5.21,-8.37,-8.22,-5.94,-6.6,-6.84,-3.29,-3.32,-6.99,-7.53,-8.05,-6.67,-7.16,-5.01,-4.56,-8.96,-7.33,-9.64
O=C(CN(S(=O)(=O)c1ccccc1F)Cc1ccco1)NCc1ccc(cc1)F,-5.04,-8.65,-8.07,-4.94,-5.15,-6.95,-2.22,-2.14,-6.73,-6.6,-7.37,-7.03,-7.12,-4.91,-4.48,-7.2,-8.03,-8.12
O=C(Cc1nc(oc1C)c1ccccc1)Nc1ccc2c(c1)NC(=O)C(O2)C,-5.85,-10.17,-10.14,-6.57,-6.9,-9.0,-3.41,-3.34,-8.31,-8.2,-7.8,-7.77,-8.36,-5.84,-6.18,-8.89,-8.77,-10.42
COC(=O)c1c(C)[nH]c(c1C)C(=O)CSc1ncnc2c1c1CCC(Cc1s2)C,-5.57,-10.36,-10.22,-5.75,-6.69,-8.26,-2.71,-2.59,-6.56,-8.11,-8.08,-7.61,-8.35,-6.24,-6.18,-8.39,-8.55,-9.75
O=C(Cn1ccc(=O)n(c1=O)C)NC1(CCCC1)c1scc(n1)C,-8.27,-8.08,-8.06,-5.65,-4.86,-7.39,-2.69,-2.52,-5.96,-6.83,-7.39,-6.42,-7.12,-5.4,-5.57,-7.11,-7.53,-7.94
COc1ccc(cc1)Cn1nnnc1SCC(=O)N1CCC2C(C1)CCCC2,-5.81,-10.85,-11.0,-6.91,-6.72,-8.21,-2.9,-2.98,-7.93,-7.63,-7.56,-8.03,-8.69,-5.65,-6.04,-8.63,-8.41,-9.64
Clc1cccc(c1)c1noc(n1)CNc1cccc2c1OCCO2,-5.5,-9.04,-9.13,-6.1,-5.98,-8.07,-2.96,-3.0,-7.71,-7.96,-8.17,-7.45,-7.81,-6.41,-6.29,-8.7,-8.26,-9.6
O=C(N1CCN(CC1)C(=O)c1cccs1)COc1cccc(c1)N1CCCC1=O,-6.28,-10.83,-10.81,-6.06,-6.22,-8.39,-2.81,-2.89,-7.31,-7.93,-8.47,-7.38,-8.77,-5.87,-5.76,-8.86,-8.18,-9.59
O=C(Nc1cccnc1)CCNC(=O)c1ccccc1C,-5.61,-7.7,-7.63,-5.15,-5.31,-6.48,-2.58,-2.16,-7.14,-6.3,-7.02,-5.93,-7.2,-5.06,-5.15,-7.77,-7.18,-8.19
OC(CN1CCC(=CC1)c1ccccc1F)COC1CCOCC1,-6.69,-8.76,-8.54,-5.3,-4.8,-6.95,-1.85,-1.62,-6.0,-5.92,-5.27,-6.05,-6.81,-4.62,-5.07,-6.95,-7.32,-7.49
O=C(C(Sc1nnc([nH]1)c1ccccc1F)C)N(C)C,-3.91,-7.3,-7.29,-5.05,-4.95,-6.74,-2.45,-2.48,-6.34,-6.48,-6.59,-6.25,-6.75,-4.57,-4.98,-7.79,-7.31,-8.28
CCCCNC(=O)c1cc2c(s1)c1ccccc1OC2,-5.01,-7.81,-7.86,-4.98,-5.03,-7.05,-3.22,-3.29,-6.9,-6.9,-6.77,-6.18,-6.89,-5.34,-5.25,-7.75,-7.79,-8.27
OCCNC(=O)c1cccc(c1C)NCc1cccc(c1F)F,-5.19,-8.1,-8.04,-4.95,-4.75,-6.4,-2.91,-2.06,-6.96,-7.19,-6.31,-6.27,-6.72,-4.07,-5.37,-7.23,-7.57,-9.15
CC(=O)NCCCSc1nc(=O)c(c([nH]1)c1ccccc1)C,-5.23,-8.54,-8.53,-4.95,-4.74,-6.5,-2.49,-1.89,-6.28,-6.22,-6.99,-6.42,-6.73,-5.41,-4.63,-7.29,-7.33,-7.79
O=C1Nc2ccccc2N(C(C1)C)C(=O)CN(C(=O)c1cc(nn1c1ccccc1)c1ccccc1)C,-6.96,-9.82,-9.68,-7.0,-6.22,-8.38,-3.19,-3.52,-7.17,-8.84,-8.17,-8.17,-8.75,-5.59,-6.21,-9.6,-9.87,-11.8
O=C(Nc1ccc2c3c1cccc3CC2)CCNC(=O)c1ccc(cc1)Cl,-5.75,-9.41,-9.43,-6.07,-6.15,-8.05,-3.07,-2.97,-6.75,-7.68,-7.82,-7.76,-8.3,-5.57,-5.52,-8.43,-8.56,-10.36
O=C(N1CCc2c1cccc2)CN1CCCC1c1cccn1C,-5.92,-7.85,-7.89,-5.02,-5.1,-6.75,-2.89,-2.84,-6.3,-5.83,-5.95,-5.91,-7.06,-5.44,-5.06,-8.35,-7.73,-9.14
CCNc1cc(C)ccc1NC(=O)C1CCC1,-4.82,-7.28,-6.85,-4.89,-4.85,-5.84,-2.35,-2.32,-5.77,-5.78,-6.5,-5.53,-6.28,-4.69,-4.98,-6.64,-7.21,-7.8
O=C(Nc1ccc(cc1C)C)CSc1nnc2n1cccc2,-5.64,-8.09,-7.92,-5.02,-5.55,-6.96,-3.67,-3.39,-6.99,-6.59,-7.23,-6.56,-7.06,-5.03,-5.52,-9.11,-7.87,-9.57
O=C(N1CCN(CC1)c1ncccn1)Cc1cccs1,-5.71,-7.0,-6.99,-4.97,-4.83,-5.78,-2.62,-2.62,-6.18,-5.21,-5.46,-5.7,-6.86,-4.38,-4.47,-6.81,-6.95,-7.07
COc1cc(ccc1NC(=O)CSc1ncnc2c1cccc2)[N+](=O)[O-],-4.75,-9.22,-9.64,-5.91,-6.43,-7.84,-3.14,-3.39,-7.14,-9.13,-8.51,-7.56,-7.53,-4.97,-6.71,-9.14,-8.66,-10.45
O=C1CCCCN1c1cccc(c1)NC(=O)c1c(F)cccc1Cl,-8.06,-8.81,-8.79,-5.89,-5.93,-7.26,-3.11,-3.17,-6.87,-7.4,-8.29,-7.01,-7.79,-5.3,-5.74,-8.48,-8.18,-9.78
COc1cc(ccc1Br)S(=O)(=O)n1c(C)ncc1[N+](=O)[O-],-6.59,-8.72,-8.74,-5.16,-5.33,-6.88,-2.98,-2.99,-5.93,-8.0,-7.43,-8.23,-6.89,-5.44,-5.11,-6.99,-6.51,-7.91
CCN1CCC(CC1)NC(=O)CSc1nnnn1C,-5.08,-6.99,-6.76,-5.11,-4.83,-6.02,-2.05,-2.06,-6.12,-5.35,-5.65,-5.13,-6.52,-5.5,-5.9,-8.45,-6.56,-8.97
COc1ccc(c(c1)OC)N1CC(CC1=O)C(=O)N(Cc1cccc(c1)OC)C,-4.44,-8.61,-8.88,-5.15,-4.95,-7.52,-2.23,-2.22,-7.33,-7.21,-7.65,-6.98,-6.51,-4.47,-5.07,-8.2,-7.12,-7.35
CC(=O)NCCNC(=O)C1CC(=O)N(C1)Cc1cccc(c1)C(F)(F)F,-4.32,-7.83,-8.16,-4.47,-4.48,-6.56,-1.77,-2.2,-5.47,-5.9,-6.18,-5.92,-6.06,-4.04,-4.81,-6.65,-6.67,-8.13
Nc1nc(Nc2ccccc2)nc(n1)C(SCC(=O)Nc1ccc(c(c1)F)F)C,-4.26,-8.67,-8.56,-5.45,-5.33,-7.56,-1.6,-1.68,-6.32,-5.95,-6.7,-5.71,-8.33,-5.02,-5.15,-7.68,-7.92,-9.04
O=C(Cc1ccc(cc1)NC(=O)C)NCC1(CCCCC1)N1CCCCC1,-5.21,-9.04,-9.42,-5.69,-5.64,-7.91,-2.61,-2.75,-6.9,-6.95,-6.47,-6.87,-7.78,-4.88,-5.71,-9.36,-8.94,-12.1
O=C(NCc1sccc1C)CCc1c(C)[nH]c(=O)[nH]c1=O,-4.76,-7.86,-7.74,-5.18,-5.0,-6.49,-2.41,-2.34,-6.29,-6.01,-7.45,-6.47,-6.72,-5.49,-5.54,-7.95,-7.15,-8.33
O=C(N1CCC(=N1)c1ccccc1)CSc1nnc(n1C1CC1)Cc1cccs1,-5.5,-9.82,-10.22,-5.53,-5.64,-8.3,-2.37,-2.36,-7.07,-7.33,-8.22,-7.61,-7.94,-5.22,-5.51,-8.43,-8.68,-9.47
COC(=O)c1nnn(c1)C1CCN(CC1)Cc1cccn1C,-7.3,-7.21,-7.12,-5.11,-5.13,-6.32,-2.47,-2.64,-5.31,-5.73,-6.11,-5.62,-6.76,-4.3,-4.47,-6.98,-6.91,-7.56
CCCCN(Cc1nc2c(n1c1ccc(cc1)OC)cccc2)C,-7.95,-6.93,-6.72,-4.84,-4.67,-5.61,-1.92,-1.79,-5.49,-5.25,-5.09,-4.76,-7.15,-5.49,-4.14,-7.48,-7.4,-7.92
O=C(NC1CCCCCC1)CN1CCN(CC1)c1ccccc1Cl,-5.08,-8.41,-8.49,-5.31,-5.5,-7.22,-2.92,-2.61,-6.87,-6.01,-6.35,-5.76,-7.64,-5.49,-4.98,-8.08,-8.32,-8.47
CC(=O)O[C@H]1CC[C@@H]2[C@]1(C)C=CC1=C3CCC(=O)C=C3CC[C@@H]21,-5.02,-9.7,-9.78,-6.36,-6.31,-7.69,-4.13,-4.07,-6.54,-7.14,-6.75,-7.35,-8.3,-5.52,-5.22,-7.27,-8.73,-8.49
Cc1cc(C)c(c(=O)[nH]1)CNC(=O)c1cccc2c1[nH]c1c2CCCCC1,-6.2,-10.14,-10.12,-6.14,-6.41,-8.08,-3.55,-3.57,-7.64,-8.08,-8.83,-8.25,-8.36,-6.04,-6.57,-9.97,-9.16,-11.35
O=C(c1ccc(cc1)OCc1c(C)noc1C)Nc1cccc(c1)c1nnc2n1CCCCC2,-7.52,-12.3,-12.41,-6.83,-6.66,-9.26,-3.87,-3.83,-9.93,-10.42,-9.0,-8.36,-9.47,-5.65,-6.87,-9.76,-10.44,-11.24
CC(C[C@@H](C(=O)O)NC(=O)[C@@H]1CSCCN1S(=O)(=O)c1ccc(cc1)C)C,-5.2,-8.25,-7.6,-4.72,-4.69,-6.93,-2.09,-1.99,-6.91,-7.72,-7.11,-7.72,-6.12,-4.3,-4.36,-7.05,-7.37,-8.21
COc1ccc(c(c1)OC)c1noc(n1)CN1C(=O)NC(C1=O)(C)c1ccc2c(c1)CCC2,-5.73,-10.31,-11.43,-6.88,-6.47,-8.48,-2.96,-3.11,-8.37,-8.98,-8.3,-7.93,-8.92,-5.28,-6.46,-8.08,-8.52,-10.37
O=C1Nc2ccccc2N(C1)C(=O)CCn1c(=O)oc2c1ccc(c2)Cl,-5.95,-9.43,-9.44,-6.06,-6.09,-8.19,-3.08,-3.14,-7.46,-7.15,-7.67,-7.25,-7.69,-5.26,-6.74,-8.86,-8.61,-10.21
Cn1nnc(c1)CCN1CCOC(C1)c1ccc(c(c1)C)F,-6.89,-7.64,-7.71,-5.13,-5.19,-6.1,-2.71,-2.66,-6.04,-5.92,-5.15,-5.37,-6.65,-4.7,-4.62,-6.85,-7.04,-7.84
Clc1cccc(c1)N(C(=O)c1cccc(c1)S(=O)(=O)N1CCCC1)c1nc2c(s1)cccc2,-7.06,-10.01,-9.98,-7.46,-7.42,-8.43,-3.4,-3.53,-8.28,-8.29,-8.89,-8.37,-9.51,-6.1,-6.74,-8.39,-9.73,-10.02
Cc1onc(c1)CN1Cc2ccccc2CC1c1nnc(o1)C,-5.81,-8.38,-8.44,-5.86,-5.91,-7.15,-3.49,-3.56,-6.72,-7.07,-7.29,-7.01,-7.87,-5.76,-5.71,-8.38,-8.11,-9.07
COC(c1scc(n1)CS(=O)(=O)CC1CCCCC1)C,-4.86,-8.64,-8.61,-5.14,-5.3,-6.43,-2.52,-2.5,-6.53,-6.39,-7.72,-6.34,-6.94,-5.03,-4.67,-7.5,-6.9,-8.01
O=C(Nc1ccn(n1)C)COc1cc(C)c(cc1C(C)C)Cl,-4.79,-8.08,-7.82,-5.01,-5.04,-6.41,-2.44,-2.35,-6.36,-6.94,-6.84,-6.31,-6.6,-4.49,-4.96,-8.0,-7.55,-8.12
O=C(c1cc(Cl)c2c(c1)OCCO2)Nc1cccc(c1)c1nnc2n1CCCCC2,-6.61,-10.56,-10.36,-7.31,-7.28,-9.12,-3.58,-3.58,-8.07,-9.77,-9.68,-7.83,-9.23,-6.12,-7.12,-8.83,-10.33,-10.76
Cc1ccc(c(c1)C)S(=O)(=O)Nc1cccc2c1[nH]nc2,-5.84,-8.43,-7.99,-5.79,-5.89,-7.29,-3.06,-3.06,-7.13,-6.51,-7.22,-7.35,-7.61,-4.78,-5.03,-8.02,-7.7,-9.16
O=C(CCC(=O)c1cccs1)NCCC(=O)NC1CCCc2c1cccc2,-4.63,-9.54,-9.25,-4.95,-5.39,-7.35,-1.79,-1.7,-5.85,-7.41,-8.06,-6.72,-7.3,-5.24,-4.94,-7.94,-7.53,-7.79
O=C(C1CCS(=O)(=O)C1)NCC1CCCCC1,-5.48,-7.72,-7.75,-5.09,-5.29,-7.2,-2.89,-2.89,-5.9,-6.49,-6.29,-6.24,-7.09,-4.15,-4.01,-7.1,-6.42,-7.75
CCCn1c(=O)c(CCc2ccccc2)nc2c1c(=O)[nH]c(=O)n2Cc1ccccc1,-4.69,-8.71,-8.43,-5.02,-5.03,-7.28,-2.65,-2.22,-6.89,-7.7,-7.95,-7.02,-8.05,-5.66,-5.93,-8.25,-8.62,-8.79
COCCOCC(=O)NC(c1cccc2c1cccc2)C,-4.2,-6.91,-6.37,-4.28,-4.59,-6.08,-1.53,-1.67,-5.03,-5.53,-6.69,-5.11,-6.48,-3.74,-4.14,-7.06,-6.62,-8.2
O=C(NC1CCN(CC1)c1nccn(c1=O)C)NCc1cocc1,-7.07,-7.77,-7.87,-4.95,-4.97,-7.09,-2.96,-2.44,-6.34,-6.05,-6.65,-6.51,-6.71,-4.69,-5.85,-7.33,-6.8,-8.37
O=C(c1ccc(cc1)Cn1cncn1)Nc1scc(n1)c1cccnc1,-4.95,-9.21,-9.24,-5.44,-5.37,-7.76,-2.3,-2.28,-7.0,-7.2,-7.96,-6.36,-7.38,-5.3,-5.2,-8.2,-7.09,-8.68
CCCCC[C@@H](CC[C@H]1[C@H](O)C[C@H]2[C@@H]1Cc1cccc(c1C2)OCC(=O)O)O,-4.7,-9.0,-9.41,-5.67,-5.11,-6.98,-1.58,-1.59,-5.86,-7.25,-6.33,-7.04,-6.55,-4.53,-4.65,-6.54,-7.09,-7.47
Cc1cc(C)[nH]c(=O)c1CNC(=O)c1ccccc1[N+](=O)[O-],-5.32,-8.58,-8.71,-5.59,-6.12,-6.83,-3.6,-3.89,-6.28,-8.57,-7.97,-8.45,-6.46,-5.27,-4.95,-8.32,-7.24,-9.27
OCCCNC(=O)Nc1ccccc1C,-4.28,-6.25,-6.21,-3.78,-3.8,-5.17,-2.14,-1.97,-5.19,-4.99,-5.39,-4.96,-5.57,-3.86,-4.68,-6.22,-5.72,-6.75
Fc1ccc(c2c1CN(CC2)CC(S(=O)(=O)C)(C)C)F,-5.22,-7.26,-7.07,-4.96,-4.81,-6.44,-2.96,-3.05,-5.53,-5.64,-5.17,-5.51,-6.73,-4.33,-4.28,-7.33,-6.87,-7.99
O=C(NC1(Oc2c(O1)cccc2)C(F)(F)F)NCCc1ccccc1,-4.9,-7.92,-7.97,-5.8,-5.86,-6.49,-2.9,-2.29,-6.2,-6.48,-6.9,-6.07,-6.17,-5.35,-5.52,-7.49,-7.0,-7.27
CN(C(=O)Cc1c(C)nc2c(c1C)c(=O)[nH]n2C)Cc1ccccn1,-5.18,-8.43,-8.75,-5.16,-5.58,-6.65,-2.6,-2.57,-6.7,-6.47,-6.86,-6.93,-7.05,-5.33,-5.01,-8.83,-8.04,-9.77
O=C(N(C1CCCC1)C)CCc1nc2ccccc2c(=O)[nH]1,-5.28,-8.82,-8.91,-5.56,-5.41,-7.16,-2.83,-2.78,-7.26,-7.32,-7.29,-7.05,-7.11,-5.14,-5.55,-7.96,-8.11,-8.76
O=C(C1CC1)Nc1cccc(c1)CNC(=O)c1cccc(c1)S(=O)(=O)NC(C)(C)C,-6.23,-9.73,-10.29,-6.08,-6.14,-8.0,-2.91,-2.65,-7.37,-7.68,-7.57,-7.6,-8.93,-5.65,-6.24,-9.03,-8.49,-9.75
CC(=O)N1CCC(CC1)NC(=O)c1ccc2c(c1O)OC(C2)(C)C,-4.55,-8.38,-8.31,-5.28,-5.44,-7.54,-2.95,-2.96,-7.12,-6.54,-6.88,-6.9,-7.02,-4.88,-5.59,-8.01,-6.89,-9.32
O=C(CN(S(=O)(=O)c1ccc(cc1)C)c1ccccc1F)Nc1cccc(c1)F,-5.65,-9.45,-9.05,-5.24,-5.43,-7.22,-2.01,-2.31,-7.44,-7.53,-6.59,-7.14,-7.41,-5.69,-4.68,-9.26,-8.25,-8.4
O=C(C1CCCCC1)NCC(=O)N1CCN(CC1)S(=O)(=O)c1ccccc1Cl,-5.84,-9.6,-9.83,-5.72,-6.22,-8.36,-3.12,-3.51,-7.59,-7.97,-7.39,-7.84,-8.62,-6.22,-5.46,-7.87,-8.56,-9.44
N#CC(C(=O)NC1CCN(C1)c1ccc(c(c1)Cl)F)(C)C,-5.18,-7.57,-7.57,-5.41,-5.39,-6.27,-2.87,-2.81,-6.12,-6.04,-7.52,-6.06,-6.21,-5.01,-4.8,-7.52,-7.27,-7.8
